allDay,dayOfWeek,startHour,endHour
false,5,1000,1700
false,4,1000,1700
false,3,1000,1700
false,2,1000,1700
false,1,1000,1700
false,7,1200,0
false,6,1200,0
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,1,1200,2300
false,7,1000,2300
false,6,1000,2300
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1000,2200
false,7,900,1700
false,6,900,1700
false,5,900,1700
false,4,900,1700
false,3,900,1700
false,2,900,1700
false,1,900,1700
false,7,1400,0
false,6,1400,0
false,5,1500,2200
false,4,1500,2200
false,3,1500,2200
false,2,1500,2200
false,7,930,1700
false,6,930,1700
false,5,930,1700
false,4,930,1700
false,3,930,1700
false,7,900,2030
false,6,900,2030
false,5,900,2030
false,4,900,2030
false,3,900,2030
false,2,900,2030
false,7,730,1730
false,6,630,2300
false,5,630,1730
false,4,630,1730
false,3,630,1730
false,2,630,1730
false,1,730,1730
false,7,1000,1700
false,6,1000,1700
false,5,1000,1700
false,4,1000,1700
false,3,1000,1700
false,2,1000,1700
false,1,1000,1700
false,7,900,1700
false,6,900,2000
false,5,900,1700
false,4,900,1700
false,3,900,1700
false,2,900,1700
false,1,1000,1600
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1200,0
false,6,1200,0
false,5,1200,0
false,4,1200,0
false,3,1500,2200
false,2,1500,2200
false,1,1200,0
false,7,1800,300
false,6,1800,300
false,5,1800,300
false,4,1800,300
false,3,1800,300
false,2,1800,300
false,1,1800,300
false,7,900,2000
false,6,900,2000
false,5,900,2000
false,4,900,2000
false,3,900,2000
false,2,900,2000
false,1,900,2000
false,7,1130,2330
false,6,1130,2330
false,5,1130,2330
false,4,1130,2330
false,3,1130,2330
false,2,1130,2330
false,1,1130,2330
false,7,1100,2300
false,6,1100,2300
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,2,1100,2300
false,1,1200,2200
false,7,1100,2200
false,6,1100,2200
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1100,2200
false,7,830,2200
false,6,830,2200
false,5,830,2200
false,4,830,2200
false,3,830,2200
false,2,830,2200
false,7,900,700
false,6,800,500
false,5,800,500
false,4,800,500
false,3,800,500
false,2,800,500
false,1,900,700
false,7,1000,0
false,6,800,0
false,5,800,0
false,4,800,0
false,3,800,0
false,2,800,0
false,1,1000,2200
false,7,1100,2200
false,6,1100,2200
false,5,1100,2200
